date,open,high,low,close,year,month,day,day_name,price_change,price_range,pct_gain_loss,ma_7,ma_30,volatility,risk_level,volume_per_million,market_trend
2018-10-02,384.38,386.8,373.83,377.14,2018,10,2,Tuesday,-7.24,12.97,-1.0,375.76,362.3,0.02,Low Risk,8.64,Bearish
2018-10-03,378.53,380.93,374.88,377.05,2018,10,3,Wednesday,-1.48,6.05,-0.0,376.82,363.6,0.01,Low Risk,5.8,Bearish
2018-10-04,375.88,375.92,360.4,363.65,2018,10,4,Thursday,-12.23,15.52,-4.0,376.0,364.24,0.02,Low Risk,9.07,Bearish
2018-10-05,359.77,363.5,343.0,351.35,2018,10,5,Friday,-8.42,20.5,-3.0,372.21,364.65,0.02,Low Risk,13.52,Bearish
2018-10-08,345.18,352.95,338.11,349.1,2018,10,8,Monday,3.92,14.84,-1.0,367.69,364.32,0.02,Low Risk,12.38,Bullish
2018-10-09,348.48,358.72,347.09,355.71,2018,10,9,Tuesday,7.23,11.63,2.0,365.06,364.03,0.02,Low Risk,8.76,Bullish
2018-10-10,353.52,355.15,325.39,325.89,2018,10,10,Wednesday,-27.63,29.76,-8.0,357.13,362.61,0.03,High Risk,17.18,Bearish
2018-10-11,324.94,334.2,315.81,321.1,2018,10,11,Thursday,-3.84,18.39,-1.0,349.12,361.04,0.03,High Risk,16.08,Bearish
2018-10-12,339.57,341.3,328.9,339.56,2018,10,12,Friday,-0.01,12.4,6.0,343.77,359.99,0.04,High Risk,14.87,Bearish
2018-10-15,337.63,339.21,326.93,333.13,2018,10,15,Monday,-4.5,12.28,-2.0,339.41,358.84,0.04,High Risk,11.22,Bearish
2018-10-16,337.24,347.95,330.56,346.4,2018,10,16,Tuesday,9.16,17.39,4.0,338.7,358.27,0.05,High Risk,20.16,Bullish
2018-10-17,378.33,380.0,356.5,364.7,2018,10,17,Wednesday,-13.63,23.5,5.0,340.93,359.05,0.05,High Risk,32.61,Bearish
2018-10-18,360.67,362.2,346.05,346.71,2018,10,18,Thursday,-13.96,16.15,-5.0,339.64,359.06,0.05,High Risk,18.46,Bearish
2018-10-19,351.0,355.8,332.2,332.67,2018,10,19,Friday,-18.33,23.6,-4.0,340.61,358.53,0.05,High Risk,16.72,Bearish
2018-10-22,333.1,335.8,320.34,329.54,2018,10,22,Monday,-3.56,15.46,-1.0,341.82,357.9,0.04,High Risk,17.1,Bearish
2018-10-23,318.0,336.58,316.77,333.16,2018,10,23,Tuesday,15.16,19.81,1.0,340.9,357.14,0.04,High Risk,14.91,Bullish
2018-10-24,332.28,333.0,300.73,301.83,2018,10,24,Wednesday,-30.45,32.27,-9.0,336.43,354.87,0.05,High Risk,19.04,Bearish
2018-10-25,307.12,319.94,305.25,312.87,2018,10,25,Thursday,5.75,14.69,4.0,331.64,353.03,0.05,High Risk,13.35,Bullish
2018-10-26,300.51,313.99,292.3,299.83,2018,10,26,Friday,-0.68,21.69,-4.0,322.37,350.87,0.04,High Risk,19.62,Bearish
2018-10-29,305.26,307.89,275.4,284.84,2018,10,29,Monday,-20.42,32.49,-5.0,313.53,348.69,0.04,High Risk,21.7,Bearish
2018-10-30,275.57,290.52,271.21,285.81,2018,10,30,Tuesday,10.24,19.31,0.0,306.84,345.96,0.04,High Risk,23.69,Bullish
2018-10-31,297.77,311.5,295.05,301.78,2018,10,31,Wednesday,4.01,16.45,6.0,302.87,343.79,0.05,High Risk,20.36,Bullish
2018-11-01,304.59,318.45,296.67,317.38,2018,11,1,Thursday,12.79,21.78,5.0,300.62,342.19,0.06,High Risk,15.12,Bullish
2018-11-02,318.0,321.88,308.33,309.1,2018,11,2,Friday,-8.9,13.55,-3.0,301.66,340.45,0.04,High Risk,13.4,Bearish
